   x,    x,    x,      0,      0
  -1,    0,  -35,  -1565,  -3785
   4,   -7,  -65,   3164,  -2601
  -3,   -3,    1,   3407,   2273
   5,   -3,   61,  -1186,   3921
  -1,   -6,   18,  -4096,      3
   4,    0,  -52,  -1186,  -3921
   3,   -8,  -42,   3404,  -2278
   0,    0,   38,   3168,   2596
   6,   -4,   61,  -1570,   3783
  -1,   -2,   -9,  -4077,   -398
   6,    0,  -64,   -802,  -4017
   2,   -5,  -17,   3614,  -1928
   4,    3,   57,   2894,   2899
   6,   -5,   39,  -1928,   3614
   0,    1,  -44,  -4018,   -796
   8,   -1,  -50,   -398,  -4077
   0,   -2,   28,   3785,  -1565
   6,    3,   58,   2601,   3164
   3,   -3,    0,  -2273,   3407
   3,    5,  -64,  -3921,  -1186
   6,   -1,  -28,      3,  -4096
   0,    3,   55,   3921,  -1186
   7,    3,   43,   2273,   3407
   0,    0,  -40,  -2601,   3164
   4,    7,  -61,  -3785,  -1565
   3,   -1,   13,    405,  -4076
   0,    7,   60,   4017,   -802
   5,    2,   11,   1928,   3614
  -3,    4,  -55,  -2894,   2899
   5,    6,  -43,  -3611,  -1934
  -2,    1,   40,    796,  -4018
   1,    7,   52,   4076,   -405
   1,    0,  -27,   1565,   3785
  -3,    6,  -64,  -3164,   2601
   4,    4,   -9,  -3404,  -2278
  -4,    2,   56,   1186,  -3921
   1,    6,   23,   4096,     -3
  -3,    0,  -53,   1186,   3921
  -3,    7,  -33,  -3407,   2273
   1,    1,   33,  -3164,  -2601
  -6,    4,   60,   1565,  -3785
   1,    3,  -14,   4076,    405
  -7,    0,  -68,    802,   4017
  -1,    4,  -11,  -3611,   1934
  -3,   -2,   62,  -2899,  -2894
  -6,    5,   40,   1928,  -3614
  -1,   -2,  -49,   4017,    802
  -8,    1,  -46,    398,   4077
   0,    1,   19,  -3785,   1565
  -7,   -4,   60,  -2601,  -3164
  -4,    4,    3,   2278,  -3404
  -3,   -5,  -57,   3919,   1192
  -6,    1,  -18,     -3,   4096
   0,   -2,   55,  -3919,   1192
  -7,   -3,   48,  -2278,  -3404
   0,    0,  -36,   2596,  -3168
  -4,   -6,  -52,   3785,   1565
  -2,    1,    8,   -398,   4077
   0,   -7,   66,  -4017,    802
  -6,   -2,   14,  -1934,  -3611
   3,   -4,  -56,   2894,  -2899
  -4,   -5,  -37,   3614,   1928
   1,    0,   39,   -802,   4017
  -1,   -8,   54,  -4076,    405
  -2,    0,  -31,  -1570,  -3783
   3,   -6,  -59,   3164,  -2601
  -3,   -3,   -6,   3404,   2278
   4,   -2,   74,  -1186,   3921
  -1,   -7,   29,  -4096,     -3
   4,    0,  -54,  -1186,  -3921
   3,   -7,  -38,   3404,  -2278
  -1,    0,   28,   3168,   2596
   8,   -5,   68,  -1565,   3785
  -1,   -3,  -16,  -4076,   -405
   7,    0,  -63,   -796,  -4018
   1,   -5,  -10,   3614,  -1928
   3,    2,   61,   2894,   2899
   7,   -5,   34,  -1928,   3614
   1,    2,  -48,  -4018,   -796
   8,   -1,  -54,   -405,  -4076
   0,   -1,   24,   3783,  -1570
   7,    4,   64,   2601,   3164
   3,   -3,   11,  -2273,   3407
   3,    5,  -65,  -3919,  -1192
   7,   -1,  -14,      3,  -4096
   0,    3,   54,   3921,  -1186
   7,    3,   47,   2273,   3407
   1,   -1,  -42,  -2601,   3164
   5,    7,  -54,  -3783,  -1570
   2,   -1,    8,    405,  -4076
   0,    7,   59,   4017,   -802
   6,    2,   18,   1934,   3611
  -3,    4,  -56,  -2894,   2899
   4,    5,  -45,  -3614,  -1928
  -1,    0,   43,    802,  -4017
   1,    7,   49,   4076,   -405
   2,    0,  -31,   1565,   3785
  -3,    6,  -57,  -3168,   2596
   4,    4,   -7,  -3407,  -2273
  -5,    3,   61,   1186,  -3921
   1,    6,   20,   4096,     -3
  -4,    0,  -48,   1192,   3919
  -3,    7,  -48,  -3407,   2273
   1,    1,   42,  -3164,  -2601
  -6,    4,   61,   1565,  -3785
   1,    2,  -24,   4076,    405
  -6,    0,  -62,    796,   4018
  -2,    6,  -14,  -3614,   1928
  -4,   -3,   61,  -2894,  -2899
  -6,    5,   34,   1934,  -3611
  -1,   -3,  -45,   4018,    796
  -8,    1,  -49,    398,   4077
   0,    2,   27,  -3785,   1565
  -7,   -4,   61,  -2601,  -3164
  -3,    3,    8,   2278,  -3404
  -3,   -5,  -60,   3919,   1192
  -6,    1,  -26,     -3,   4096
   0,   -3,   48,  -3919,   1192
  -7,   -3,   45,  -2278,  -3404
  -1,    1,  -30,   2601,  -3164
  -4,   -6,  -60,   3785,   1565
  -3,    1,   15,   -398,   4077
   0,   -6,   62,  -4018,    796
  -5,   -2,    9,  -1928,  -3614
   2,   -3,  -63,   2899,  -2894
  -5,   -6,  -40,   3611,   1934
   2,   -1,   46,   -796,   4018
  -1,   -8,   44,  -4076,    405
  -1,    0,  -30,  -1565,  -3785
   4,   -7,  -63,   3164,  -2601
  -4,   -4,    8,   3404,   2278
   5,   -3,   63,  -1192,   3919
  -1,   -5,   24,  -4096,     -3
   4,    0,  -57,  -1186,  -3921
   3,   -7,  -45,   3404,  -2278
   1,    1,   40,   3168,   2596
   7,   -4,   56,  -1570,   3783
  -1,   -3,  -12,  -4077,   -398
   7,    0,  -66,   -802,  -4017
   2,   -5,  -13,   3611,  -1934
   4,    3,   63,   2899,   2894
   5,   -4,   42,  -1928,   3614
   1,    1,  -42,  -4018,   -796
   8,   -1,  -61,   -398,  -4077
   0,   -2,   30,   3785,  -1565
   7,    4,   63,   2596,   3168
   4,   -4,   -1,  -2273,   3407
   2,    5,  -64,  -3919,  -1192
   7,   -1,  -25,      3,  -4096
   0,    4,   48,   3919,  -1192
   7,    3,   49,   2273,   3407
   0,    0,  -36,  -2596,   3168
   4,    7,  -56,  -3783,  -1570
   3,   -1,    9,    405,  -4076
   0,    6,   65,   4017,   -802
   6,    2,   16,   1934,   3611
  -2,    4,  -53,  -2899,   2894
   4,    5,  -36,  -3611,  -1934
  -1,    0,   45,    802,  -4017
   1,    8,   55,   4077,   -398
   2,    0,  -27,   1570,   3783
  -3,    6,  -63,  -3164,   2601
   3,    3,   -4,  -3404,  -2278
  -5,    3,   59,   1192,  -3919
   1,    7,   21,   4096,     -3
  -3,    0,  -58,   1186,   3921
  -3,    7,  -47,  -3407,   2273
   0,    0,   30,  -3168,  -2596
  -6,    4,   58,   1565,  -3785
   1,    3,   -6,   4077,    398
  -7,    0,  -60,    802,   4017
  -2,    6,  -12,  -3614,   1928
  -3,   -2,   58,  -2894,  -2899
  -6,    5,   34,   1928,  -3614
   0,   -1,  -46,   4017,    802
  -7,    1,  -51,    405,   4076
   0,    1,   26,  -3785,   1565
  -6,   -3,   71,  -2601,  -3164
  -3,    3,   -8,   2278,  -3404
  -3,   -5,  -65,   3921,   1186
  -6,    1,  -15,      3,   4096
   0,   -3,   46,  -3921,   1186
  -8,   -3,   45,  -2278,  -3404
   1,   -1,  -34,   2596,  -3168
  -5,   -7,  -55,   3783,   1570
  -2,    1,    3,   -398,   4077
   0,   -6,   69,  -4018,    796
  -5,   -2,   12,  -1934,  -3611
   2,   -4,  -56,   2894,  -2899
  -4,   -5,  -31,   3614,   1928
   0,    0,   48,   -802,   4017
  -1,   -9,   51,  -4077,    398
  -1,    0,  -14,  -1565,  -3785
   3,   -6,  -61,   3164,  -2601
  -3,   -3,   -3,   3404,   2278
   5,   -3,   58,  -1192,   3919
  -1,   -6,   24,  -4096,     -3
   2,    0,  -48,  -1192,  -3919
   3,   -7,  -46,   3407,  -2273
   0,    0,   41,   3164,   2601
   6,   -4,   58,  -1570,   3783
  -1,   -3,  -17,  -4076,   -405
   6,    0,  -67,   -796,  -4018
   2,   -6,  -10,   3614,  -1928
   4,    3,   54,   2894,   2899
   6,   -5,   32,  -1928,   3614
   1,    2,  -43,  -4018,   -796
   8,   -1,  -57,   -398,  -4077
   0,   -1,   30,   3785,  -1565
   6,    3,   61,   2601,   3164
   3,   -3,    1,  -2278,   3404
   3,    5,  -62,  -3919,  -1192
   7,   -1,  -24,     -3,  -4096
   0,    4,   50,   3921,  -1186
   7,    3,   48,   2273,   3407
   0,    0,  -36,  -2601,   3164
   4,    6,  -59,  -3783,  -1570
   3,   -1,   18,    398,  -4077
   0,    6,   64,   4018,   -796
   6,    2,   10,   1928,   3614
  -2,    4,  -57,  -2894,   2899
   5,    6,  -42,  -3614,  -1928
  -2,    1,   44,    802,  -4017
   1,    8,   50,   4076,   -405
   1,    0,  -28,   1565,   3785
  -3,    6,  -64,  -3164,   2601
   4,    4,   -2,  -3407,  -2273
  -5,    3,   60,   1192,  -3919
   1,    6,   27,   4096,     -3
  -3,    0,  -56,   1186,   3921
  -3,    7,  -41,  -3404,   2278
   0,    0,   33,  -3168,  -2596
  -6,    4,   57,   1570,  -3783
   1,    3,  -10,   4077,    398
  -7,    0,  -63,    796,   4018
  -1,    5,  -16,  -3614,   1928
  -3,   -2,   58,  -2894,  -2899
  -6,    5,   36,   1934,  -3611
   0,   -1,  -50,   4017,    802
  -8,    1,  -62,    405,   4076
   0,    2,   31,  -3783,   1570
  -6,   -3,   58,  -2601,  -3164
  -3,    3,   16,   2278,  -3404
  -3,   -6,  -71,   3921,   1186
  -8,    2,  -23,     -3,   4096
   0,   -4,   56,  -3919,   1192
  -7,   -3,   35,  -2278,  -3404
  -1,    2,  -35,   2601,  -3164
  -5,   -7,  -59,   3785,   1565
  -3,    1,    1,   -398,   4077
   0,   -7,   71,  -4018,    796
  -4,   -1,    7,  -1928,  -3614
   2,   -4,  -64,   2894,  -2899
  -5,   -6,  -29,   3614,   1928
   0,    0,   43,   -802,   4017
  -1,   -9,   54,  -4076,    405
  -1,    0,  -31,  -1565,  -3785
   4,   -7,  -68,   3168,  -2596
  -3,   -3,    4,   3407,   2273
   5,   -3,   71,  -1192,   3919
  -1,   -7,   24,  -4096,      3
   4,    0,  -58,  -1186,  -3921
   3,   -8,  -39,   3407,  -2273
   0,    0,   31,   3164,   2601
   7,   -5,   55,  -1565,   3785
  -1,   -3,   -2,  -4076,   -405
   7,    0,  -68,   -802,  -4017
   1,   -5,   -8,   3614,  -1928
   3,    2,   60,   2899,   2894
   5,   -4,   33,  -1934,   3611
   0,    0,  -50,  -4017,   -802
   8,   -1,  -60,   -398,  -4077
   0,   -1,   24,   3785,  -1565
   7,    4,   64,   2601,   3164
   3,   -3,   -6,  -2278,   3404
   3,    6,  -70,  -3919,  -1192
   7,   -1,  -14,     -3,  -4096
   0,    3,   54,   3919,  -1192
   7,    3,   41,   2273,   3407
   0,    1,  -35,  -2596,   3168
   5,    7,  -58,  -3785,  -1565
   2,   -1,   10,    398,  -4077
   0,    7,   66,   4018,   -796
   5,    1,   14,   1934,   3611
  -2,    4,  -56,  -2899,   2894
   5,    6,  -36,  -3611,  -1934
  -1,    0,   46,    796,  -4018
   1,    8,   58,   4076,   -405
   2,    0,  -27,   1570,   3783
  -3,    6,  -63,  -3164,   2601
   3,    3,   -1,  -3407,  -2273
  -5,    3,   57,   1192,  -3919
   1,    7,   21,   4096,     -3
  -3,    0,  -56,   1186,   3921
  -3,    7,  -49,  -3404,   2278
   0,    0,   29,  -3168,  -2596
  -6,    4,   55,   1565,  -3785
   1,    3,  -16,   4076,    405
  -7,    0,  -72,    796,   4018
  -2,    6,  -17,  -3614,   1928
  -3,   -2,   61,  -2894,  -2899
  -5,    4,   32,   1934,  -3611
  -1,   -2,  -48,   4018,    796
  -9,    1,  -50,    398,   4077
   0,    2,   27,  -3783,   1570
  -7,   -4,   60,  -2596,  -3168
  -3,    3,    5,   2273,  -3407
  -3,   -5,  -59,   3919,   1192
  -6,    1,  -30,      3,   4096
   0,   -3,   50,  -3921,   1186
  -7,   -3,   45,  -2278,  -3404
   0,    0,  -28,   2596,  -3168
  -4,   -6,  -58,   3785,   1565
  -4,    1,    9,   -398,   4077
   0,   -6,   64,  -4017,    802
  -5,   -2,   19,  -1934,  -3611
   2,   -3,  -55,   2899,  -2894
  -5,   -6,  -40,   3614,   1928
   1,    0,   52,   -802,   4017
  -1,   -8,   49,  -4077,    398
  -2,    0,  -21,  -1570,  -3783
   3,   -6,  -61,   3168,  -2596
  -4,   -4,    4,   3404,   2278
   6,   -3,   67,  -1192,   3919
  -1,   -6,   21,  -4096,     -3
   3,    0,  -50,  -1186,  -3921
   3,   -7,  -50,   3407,  -2273
   0,    0,   34,   3164,   2601
   7,   -5,   61,  -1565,   3785
  -1,   -3,  -19,  -4076,   -405
   6,    0,  -63,   -802,  -4017
   2,   -6,   -9,   3611,  -1934
   4,    2,   65,   2894,   2899
   6,   -5,   32,  -1928,   3614
   1,    2,  -44,  -4018,   -796
   8,   -1,  -54,   -398,  -4077
   0,   -1,   28,   3785,  -1565
   7,    4,   58,   2601,   3164
   3,   -3,    3,  -2273,   3407
   3,    5,  -62,  -3921,  -1186
   7,   -1,  -29,     -3,  -4096
   0,    3,   52,   3921,  -1186
   7,    3,   49,   2278,   3404
   0,    0,  -29,  -2601,   3164
   4,    6,  -52,  -3785,  -1565
   3,   -1,    9,    398,  -4077
   0,    6,   61,   4018,   -796
   6,    2,   15,   1934,   3611
  -2,    3,  -59,  -2899,   2894
   4,    5,  -40,  -3614,  -1928
  -1,    0,   38,    802,  -4017
   1,    8,   56,   4077,   -398
   2,    0,  -22,   1565,   3785
  -3,    6,  -67,  -3168,   2596
   4,    4,    0,  -3407,  -2273
  -4,    2,   62,   1186,  -3921
   1,    7,   31,   4096,     -3
  -3,    0,  -52,   1186,   3921
  -3,    8,  -43,  -3407,   2273
   0,    0,   32,  -3168,  -2596
  -6,    4,   61,   1570,  -3783
   1,    4,   -7,   4077,    398
  -6,    0,  -66,    796,   4018
  -2,    5,   -6,  -3611,   1934
  -3,   -2,   60,  -2894,  -2899
  -6,    5,   37,   1928,  -3614
   0,   -1,  -51,   4017,    802
  -8,    1,  -57,    405,   4076
   0,    1,   27,  -3785,   1565
  -7,   -4,   62,  -2601,  -3164
  -3,    3,   -3,   2278,  -3404
  -3,   -6,  -63,   3919,   1192
  -7,    1,  -21,     -3,   4096
   0,   -3,   57,  -3919,   1192
  -7,   -3,   39,  -2273,  -3407
   0,    0,  -38,   2601,  -3164
  -4,   -7,  -66,   3785,   1565
  -3,    1,   17,   -398,   4077
   0,   -7,   70,  -4017,    802
  -5,   -1,   23,  -1928,  -3614
   3,   -4,  -57,   2894,  -2899
  -5,   -6,  -37,   3614,   1928
   2,   -1,   41,   -802,   4017
  -1,   -9,   54,  -4077,    398
  -3,   -1,  -31,  -1570,  -3783
   3,   -6,  -62,   3164,  -2601
  -3,   -3,    2,   3407,   2273
   5,   -2,   65,  -1186,   3921
  -1,   -7,   28,  -4096,      3
   4,    0,  -53,  -1186,  -3921
   3,   -7,  -37,   3407,  -2273
   0,    0,   38,   3164,   2601
   7,   -5,   54,  -1565,   3785
  -1,   -3,  -15,  -4077,   -398
   7,    0,  -66,   -796,  -4018
   1,   -4,   -7,   3614,  -1928
   4,    3,   48,   2894,   2899
   5,   -4,   35,  -1928,   3614
   1,    2,  -48,  -4017,   -802
   8,   -1,  -59,   -398,  -4077
   0,   -1,   21,   3783,  -1570
   5,    3,   58,   2601,   3164
   3,   -3,    1,  -2278,   3404
   3,    5,  -61,  -3921,  -1186
   7,   -1,  -27,     -3,  -4096
   0,    3,   49,   3921,  -1186
   7,    3,   47,   2278,   3404
   0,    0,  -38,  -2596,   3168
   4,    6,  -63,  -3785,  -1565
   3,   -1,   11,    405,  -4076
   0,    6,   60,   4017,   -802
   6,    2,   15,   1928,   3614
  -3,    4,  -48,  -2894,   2899
   5,    6,  -36,  -3611,  -1934
  -1,    1,   52,    802,  -4017
   1,    7,   50,   4077,   -398
   2,    0,  -20,   1570,   3783
  -3,    5,  -63,  -3164,   2601
   3,    3,    2,  -3404,  -2278
  -6,    3,   61,   1192,  -3919
   1,    6,   13,   4096,     -3
  -2,    0,  -46,   1186,   3921
  -3,    7,  -46,  -3407,   2273
   0,    0,   35,  -3168,  -2596
  -6,    4,   59,   1565,  -3785
   0,    2,   -9,   4076,    405
  -6,    0,  -55,    796,   4018
  -2,    6,  -10,  -3614,   1928
  -4,   -2,   55,  -2894,  -2899
  -6,    5,   40,   1934,  -3611
   0,   -1,  -49,   4018,    796
  -7,    1,  -54,    405,   4076
   0,    1,   33,  -3785,   1565
  -6,   -3,   57,  -2596,  -3168
  -4,    4,    1,   2273,  -3407
  -3,   -5,  -57,   3921,   1186
  -7,    1,  -27,     -3,   4096
   0,   -4,   39,  -3921,   1186
  -7,   -3,   44,  -2278,  -3404
   0,    0,  -33,   2601,  -3164
  -4,   -6,  -58,   3785,   1565
  -3,    1,    9,   -398,   4077
   0,   -5,   54,  -4018,    796
  -5,   -2,   13,  -1934,  -3611
   2,   -3,  -68,   2899,  -2894
  -5,   -6,  -35,   3611,   1934
   1,    0,   46,   -796,   4018
  -1,   -7,   54,  -4077,    398
  -2,    0,  -31,  -1565,  -3785
   4,   -7,  -60,   3168,  -2596
  -3,   -3,    0,   3407,   2273
   5,   -3,   57,  -1192,   3919
  -1,   -7,   29,  -4096,      3
   4,    0,  -62,  -1192,  -3919
   3,   -7,  -36,   3407,  -2273
   0,    0,   34,   3168,   2596
   6,   -4,   59,  -1565,   3785
  -1,   -3,  -18,  -4076,   -405
   8,    0,  -72,   -802,  -4017
   1,   -4,  -10,   3611,  -1934
   4,    2,   67,   2894,   2899
   6,   -5,   40,  -1934,   3611
   1,    2,  -48,  -4018,   -796
   9,   -1,  -54,   -398,  -4077
   0,   -1,   29,   3785,  -1565
   7,    4,   57,   2596,   3168
   4,   -4,    2,  -2278,   3404
   3,    5,  -61,  -3921,  -1186
   7,   -1,  -28,     -3,  -4096
   0,    4,   53,   3919,  -1192
   7,    3,   51,   2273,   3407
   0,    0,  -34,  -2596,   3168
   4,    6,  -62,  -3783,  -1570
   3,   -1,   15,    398,  -4077
   0,    7,   60,   4018,   -796
   6,    2,   12,   1934,   3611
  -2,    4,  -60,  -2894,   2899
   5,    6,  -35,  -3614,  -1928
  -2,    1,   50,    802,  -4017
   1,    7,   54,   4076,   -405
   1,    0,  -27,   1565,   3785
  -4,    7,  -70,  -3164,   2601
   3,    3,    6,  -3407,  -2273
  -6,    3,   58,   1192,  -3919
   1,    7,   25,   4096,      3
  -3,    0,  -57,   1192,   3919
  -3,    8,  -44,  -3407,   2273
  -1,    0,   38,  -3164,  -2601
  -6,    4,   62,   1565,  -3785
   1,    3,  -10,   4076,    405
  -7,    0,  -64,    796,   4018
  -2,    5,   -9,  -3614,   1928
  -4,   -3,   61,  -2899,  -2894
  -6,    5,   34,   1934,  -3611
   0,   -1,  -55,   4018,    796
  -8,    1,  -54,    405,   4076
   0,    1,   20,  -3783,   1570
  -7,   -4,   70,  -2596,  -3168
  -3,    3,    0,   2278,  -3404
  -3,   -6,  -58,   3921,   1186
  -7,    1,  -30,      3,   4096
   0,   -2,   49,  -3921,   1186
  -8,   -3,   52,  -2273,  -3407
   0,    0,  -33,   2601,  -3164
  -4,   -6,  -54,   3783,   1570
  -4,    1,   13,   -398,   4077
   0,   -6,   66,  -4017,    802
  -6,   -2,   23,  -1928,  -3614
   2,   -3,  -56,   2894,  -2899
  -4,   -5,  -41,   3611,   1934
   2,   -1,   37,   -796,   4018
  -1,   -8,   60,  -4077,    398
  -3,   -1,  -22,  -1570,  -3783
   3,   -6,  -65,   3168,  -2596
  -4,   -4,   -4,   3407,   2273
   4,   -2,   65,  -1186,   3921
  -1,   -7,   32,  -4096,      3
   3,    0,  -49,  -1192,  -3919
   3,   -8,  -44,   3407,  -2273
   0,    0,   33,   3168,   2596
   7,   -5,   59,  -1570,   3783
  -1,   -4,  -11,  -4077,   -398
   6,    0,  -61,   -796,  -4018
   2,   -5,  -18,   3611,  -1934
   3,    2,   57,   2899,   2894
   6,   -5,   31,  -1934,   3611
   1,    1,  -46,  -4018,   -796
   8,   -1,  -51,   -398,  -4077
   0,   -2,   27,   3785,  -1565
   6,    3,   56,   2601,   3164
   3,   -3,   -5,  -2278,   3404
   3,    5,  -66,  -3919,  -1192
   6,   -1,  -18,     -3,  -4096
   0,    3,   54,   3921,  -1186
   6,    3,   50,   2278,   3404
   0,    0,  -34,  -2596,   3168
   5,    7,  -60,  -3783,  -1570
   2,   -1,   12,    398,  -4077
   0,    7,   64,   4017,   -802
   6,    2,    9,   1934,   3611
  -2,    4,  -56,  -2894,   2899
   5,    6,  -37,  -3611,  -1934
  -1,    1,   46,    802,  -4017
   1,    8,   59,   4076,   -405
   1,    0,  -33,   1565,   3785
  -3,    6,  -70,  -3168,   2596
   3,    3,    0,  -3407,  -2273
  -5,    3,   63,   1192,  -3919
   1,    7,   28,   4096,      3
  -4,    0,  -53,   1186,   3921
  -3,    8,  -50,  -3407,   2273
   0,    0,   37,  -3164,  -2601
  -7,    4,   69,   1565,  -3785
   1,    3,  -19,   4077,    398
  -7,    0,  -68,    802,   4017
  -2,    6,  -19,  -3614,   1928
  -4,   -3,   57,  -2899,  -2894
  -7,    5,   45,   1928,  -3614
  -1,   -2,  -45,   4017,    802
  -8,    1,  -63,    398,   4077
   0,    2,   28,  -3785,   1565
  -6,   -3,   66,  -2601,  -3164
  -4,    4,   -4,   2278,  -3404
  -3,   -5,  -58,   3919,   1192
  -8,    2,  -31,     -3,   4096
   0,   -3,   46,  -3921,   1186
  -8,   -3,   48,  -2273,  -3407
   0,    0,  -38,   2596,  -3168
  -4,   -6,  -60,   3783,   1570
